"Absolute path" "Relative path" Class
C:\Users\User\ptm-4\dataset\01780.txt ..\random_number_dataset\01780.txt bad
C:\Users\User\ptm-4\dataset\07937.txt ..\random_number_dataset\07937.txt bad
C:\Users\User\ptm-4\dataset\00197.txt ..\random_number_dataset\00197.txt bad
C:\Users\User\ptm-4\dataset\08044.txt ..\random_number_dataset\08044.txt bad
C:\Users\User\ptm-4\dataset\02049.txt ..\random_number_dataset\02049.txt bad
C:\Users\User\ptm-4\dataset\06726.txt ..\random_number_dataset\06726.txt bad
C:\Users\User\ptm-4\dataset\08205.txt ..\random_number_dataset\08205.txt bad
C:\Users\User\ptm-4\dataset\01887.txt ..\random_number_dataset\01887.txt bad
C:\Users\User\ptm-4\dataset\06172.txt ..\random_number_dataset\06172.txt bad
C:\Users\User\ptm-4\dataset\01937.txt ..\random_number_dataset\01937.txt bad
C:\Users\User\ptm-4\dataset\02806.txt ..\random_number_dataset\02806.txt bad
C:\Users\User\ptm-4\dataset\08423.txt ..\random_number_dataset\08423.txt bad
C:\Users\User\ptm-4\dataset\07184.txt ..\random_number_dataset\07184.txt bad
C:\Users\User\ptm-4\dataset\08897.txt ..\random_number_dataset\08897.txt bad
C:\Users\User\ptm-4\dataset\06668.txt ..\random_number_dataset\06668.txt bad
C:\Users\User\ptm-4\dataset\01563.txt ..\random_number_dataset\01563.txt bad
C:\Users\User\ptm-4\dataset\02576.txt ..\random_number_dataset\02576.txt bad
C:\Users\User\ptm-4\dataset\04612.txt ..\random_number_dataset\04612.txt bad
C:\Users\User\ptm-4\dataset\07954.txt ..\random_number_dataset\07954.txt bad
C:\Users\User\ptm-4\dataset\06636.txt ..\random_number_dataset\06636.txt bad
C:\Users\User\ptm-4\dataset\03992.txt ..\random_number_dataset\03992.txt bad
C:\Users\User\ptm-4\dataset\03145.txt ..\random_number_dataset\03145.txt bad
C:\Users\User\ptm-4\dataset\03188.txt ..\random_number_dataset\03188.txt bad
C:\Users\User\ptm-4\dataset\00097.txt ..\random_number_dataset\00097.txt bad
C:\Users\User\ptm-4\dataset\02056.txt ..\random_number_dataset\02056.txt bad
C:\Users\User\ptm-4\dataset\05951.txt ..\random_number_dataset\05951.txt bad
C:\Users\User\ptm-4\dataset\04626.txt ..\random_number_dataset\04626.txt bad
C:\Users\User\ptm-4\dataset\02576.txt ..\random_number_dataset\02576.txt bad
C:\Users\User\ptm-4\dataset\01836.txt ..\random_number_dataset\01836.txt bad
C:\Users\User\ptm-4\dataset\03563.txt ..\random_number_dataset\03563.txt bad
C:\Users\User\ptm-4\dataset\08481.txt ..\random_number_dataset\08481.txt bad
C:\Users\User\ptm-4\dataset\05450.txt ..\random_number_dataset\05450.txt bad
C:\Users\User\ptm-4\dataset\08451.txt ..\random_number_dataset\08451.txt bad
C:\Users\User\ptm-4\dataset\06332.txt ..\random_number_dataset\06332.txt bad
C:\Users\User\ptm-4\dataset\09958.txt ..\random_number_dataset\09958.txt bad
C:\Users\User\ptm-4\dataset\01869.txt ..\random_number_dataset\01869.txt bad
C:\Users\User\ptm-4\dataset\04218.txt ..\random_number_dataset\04218.txt bad
C:\Users\User\ptm-4\dataset\04850.txt ..\random_number_dataset\04850.txt bad
C:\Users\User\ptm-4\dataset\07388.txt ..\random_number_dataset\07388.txt bad
C:\Users\User\ptm-4\dataset\05321.txt ..\random_number_dataset\05321.txt bad
C:\Users\User\ptm-4\dataset\02572.txt ..\random_number_dataset\02572.txt bad
C:\Users\User\ptm-4\dataset\06569.txt ..\random_number_dataset\06569.txt bad
C:\Users\User\ptm-4\dataset\02544.txt ..\random_number_dataset\02544.txt bad
C:\Users\User\ptm-4\dataset\04551.txt ..\random_number_dataset\04551.txt bad
C:\Users\User\ptm-4\dataset\09411.txt ..\random_number_dataset\09411.txt bad
C:\Users\User\ptm-4\dataset\02516.txt ..\random_number_dataset\02516.txt bad
C:\Users\User\ptm-4\dataset\00367.txt ..\random_number_dataset\00367.txt bad
C:\Users\User\ptm-4\dataset\09608.txt ..\random_number_dataset\09608.txt bad
C:\Users\User\ptm-4\dataset\03975.txt ..\random_number_dataset\03975.txt bad
C:\Users\User\ptm-4\dataset\04768.txt ..\random_number_dataset\04768.txt bad
C:\Users\User\ptm-4\dataset\06638.txt ..\random_number_dataset\06638.txt bad
C:\Users\User\ptm-4\dataset\02338.txt ..\random_number_dataset\02338.txt bad
C:\Users\User\ptm-4\dataset\06900.txt ..\random_number_dataset\06900.txt bad
C:\Users\User\ptm-4\dataset\01500.txt ..\random_number_dataset\01500.txt bad
C:\Users\User\ptm-4\dataset\02061.txt ..\random_number_dataset\02061.txt bad
C:\Users\User\ptm-4\dataset\02670.txt ..\random_number_dataset\02670.txt bad
C:\Users\User\ptm-4\dataset\02994.txt ..\random_number_dataset\02994.txt bad
C:\Users\User\ptm-4\dataset\03939.txt ..\random_number_dataset\03939.txt bad
C:\Users\User\ptm-4\dataset\08923.txt ..\random_number_dataset\08923.txt bad
C:\Users\User\ptm-4\dataset\04510.txt ..\random_number_dataset\04510.txt bad
C:\Users\User\ptm-4\dataset\03685.txt ..\random_number_dataset\03685.txt bad
C:\Users\User\ptm-4\dataset\04471.txt ..\random_number_dataset\04471.txt bad
C:\Users\User\ptm-4\dataset\05285.txt ..\random_number_dataset\05285.txt bad
C:\Users\User\ptm-4\dataset\07624.txt ..\random_number_dataset\07624.txt bad
C:\Users\User\ptm-4\dataset\04892.txt ..\random_number_dataset\04892.txt bad
C:\Users\User\ptm-4\dataset\04390.txt ..\random_number_dataset\04390.txt bad
C:\Users\User\ptm-4\dataset\09497.txt ..\random_number_dataset\09497.txt bad
C:\Users\User\ptm-4\dataset\00851.txt ..\random_number_dataset\00851.txt bad
C:\Users\User\ptm-4\dataset\09982.txt ..\random_number_dataset\09982.txt bad
C:\Users\User\ptm-4\dataset\03495.txt ..\random_number_dataset\03495.txt bad
C:\Users\User\ptm-4\dataset\08486.txt ..\random_number_dataset\08486.txt bad
C:\Users\User\ptm-4\dataset\08415.txt ..\random_number_dataset\08415.txt bad
C:\Users\User\ptm-4\dataset\03809.txt ..\random_number_dataset\03809.txt bad
C:\Users\User\ptm-4\dataset\09661.txt ..\random_number_dataset\09661.txt bad
C:\Users\User\ptm-4\dataset\03336.txt ..\random_number_dataset\03336.txt bad
C:\Users\User\ptm-4\dataset\09371.txt ..\random_number_dataset\09371.txt bad
C:\Users\User\ptm-4\dataset\07546.txt ..\random_number_dataset\07546.txt bad
C:\Users\User\ptm-4\dataset\02862.txt ..\random_number_dataset\02862.txt bad
C:\Users\User\ptm-4\dataset\07896.txt ..\random_number_dataset\07896.txt bad
C:\Users\User\ptm-4\dataset\09164.txt ..\random_number_dataset\09164.txt bad
C:\Users\User\ptm-4\dataset\08601.txt ..\random_number_dataset\08601.txt bad
C:\Users\User\ptm-4\dataset\00486.txt ..\random_number_dataset\00486.txt bad
C:\Users\User\ptm-4\dataset\04992.txt ..\random_number_dataset\04992.txt bad
C:\Users\User\ptm-4\dataset\06749.txt ..\random_number_dataset\06749.txt bad
C:\Users\User\ptm-4\dataset\07371.txt ..\random_number_dataset\07371.txt bad
C:\Users\User\ptm-4\dataset\09227.txt ..\random_number_dataset\09227.txt bad
C:\Users\User\ptm-4\dataset\06740.txt ..\random_number_dataset\06740.txt bad
C:\Users\User\ptm-4\dataset\01333.txt ..\random_number_dataset\01333.txt bad
C:\Users\User\ptm-4\dataset\00339.txt ..\random_number_dataset\00339.txt bad
C:\Users\User\ptm-4\dataset\08441.txt ..\random_number_dataset\08441.txt bad
C:\Users\User\ptm-4\dataset\03518.txt ..\random_number_dataset\03518.txt bad
C:\Users\User\ptm-4\dataset\07419.txt ..\random_number_dataset\07419.txt bad
C:\Users\User\ptm-4\dataset\01859.txt ..\random_number_dataset\01859.txt bad
C:\Users\User\ptm-4\dataset\05310.txt ..\random_number_dataset\05310.txt bad
C:\Users\User\ptm-4\dataset\03777.txt ..\random_number_dataset\03777.txt bad
C:\Users\User\ptm-4\dataset\02178.txt ..\random_number_dataset\02178.txt bad
C:\Users\User\ptm-4\dataset\01072.txt ..\random_number_dataset\01072.txt bad
C:\Users\User\ptm-4\dataset\00342.txt ..\random_number_dataset\00342.txt bad
C:\Users\User\ptm-4\dataset\04604.txt ..\random_number_dataset\04604.txt bad
C:\Users\User\ptm-4\dataset\06982.txt ..\random_number_dataset\06982.txt bad
C:\Users\User\ptm-4\dataset\07044.txt ..\random_number_dataset\07044.txt bad
C:\Users\User\ptm-4\dataset\07567.txt ..\random_number_dataset\07567.txt bad
C:\Users\User\ptm-4\dataset\00331.txt ..\random_number_dataset\00331.txt bad
C:\Users\User\ptm-4\dataset\08349.txt ..\random_number_dataset\08349.txt bad
C:\Users\User\ptm-4\dataset\01886.txt ..\random_number_dataset\01886.txt bad
C:\Users\User\ptm-4\dataset\01404.txt ..\random_number_dataset\01404.txt bad
C:\Users\User\ptm-4\dataset\05294.txt ..\random_number_dataset\05294.txt bad
C:\Users\User\ptm-4\dataset\09480.txt ..\random_number_dataset\09480.txt bad
C:\Users\User\ptm-4\dataset\01932.txt ..\random_number_dataset\01932.txt bad
C:\Users\User\ptm-4\dataset\08073.txt ..\random_number_dataset\08073.txt bad
C:\Users\User\ptm-4\dataset\04527.txt ..\random_number_dataset\04527.txt bad
C:\Users\User\ptm-4\dataset\06966.txt ..\random_number_dataset\06966.txt bad
C:\Users\User\ptm-4\dataset\04409.txt ..\random_number_dataset\04409.txt bad
C:\Users\User\ptm-4\dataset\01592.txt ..\random_number_dataset\01592.txt bad
C:\Users\User\ptm-4\dataset\05062.txt ..\random_number_dataset\05062.txt bad
C:\Users\User\ptm-4\dataset\05769.txt ..\random_number_dataset\05769.txt bad
C:\Users\User\ptm-4\dataset\02593.txt ..\random_number_dataset\02593.txt bad
C:\Users\User\ptm-4\dataset\03245.txt ..\random_number_dataset\03245.txt bad
C:\Users\User\ptm-4\dataset\07823.txt ..\random_number_dataset\07823.txt bad
C:\Users\User\ptm-4\dataset\00740.txt ..\random_number_dataset\00740.txt bad
C:\Users\User\ptm-4\dataset\09538.txt ..\random_number_dataset\09538.txt bad
C:\Users\User\ptm-4\dataset\06831.txt ..\random_number_dataset\06831.txt bad
C:\Users\User\ptm-4\dataset\09108.txt ..\random_number_dataset\09108.txt bad
C:\Users\User\ptm-4\dataset\01543.txt ..\random_number_dataset\01543.txt bad
C:\Users\User\ptm-4\dataset\03967.txt ..\random_number_dataset\03967.txt bad
C:\Users\User\ptm-4\dataset\09330.txt ..\random_number_dataset\09330.txt bad
C:\Users\User\ptm-4\dataset\00312.txt ..\random_number_dataset\00312.txt bad
C:\Users\User\ptm-4\dataset\06839.txt ..\random_number_dataset\06839.txt bad
C:\Users\User\ptm-4\dataset\03185.txt ..\random_number_dataset\03185.txt bad
C:\Users\User\ptm-4\dataset\03479.txt ..\random_number_dataset\03479.txt bad
C:\Users\User\ptm-4\dataset\06541.txt ..\random_number_dataset\06541.txt bad
C:\Users\User\ptm-4\dataset\09072.txt ..\random_number_dataset\09072.txt bad
C:\Users\User\ptm-4\dataset\08308.txt ..\random_number_dataset\08308.txt bad
C:\Users\User\ptm-4\dataset\01238.txt ..\random_number_dataset\01238.txt bad
C:\Users\User\ptm-4\dataset\02826.txt ..\random_number_dataset\02826.txt bad
C:\Users\User\ptm-4\dataset\00105.txt ..\random_number_dataset\00105.txt bad
C:\Users\User\ptm-4\dataset\07648.txt ..\random_number_dataset\07648.txt bad
C:\Users\User\ptm-4\dataset\00342.txt ..\random_number_dataset\00342.txt bad
C:\Users\User\ptm-4\dataset\00724.txt ..\random_number_dataset\00724.txt bad
C:\Users\User\ptm-4\dataset\03236.txt ..\random_number_dataset\03236.txt bad
C:\Users\User\ptm-4\dataset\09666.txt ..\random_number_dataset\09666.txt bad
C:\Users\User\ptm-4\dataset\08918.txt ..\random_number_dataset\08918.txt bad
C:\Users\User\ptm-4\dataset\03740.txt ..\random_number_dataset\03740.txt bad
C:\Users\User\ptm-4\dataset\01461.txt ..\random_number_dataset\01461.txt bad
C:\Users\User\ptm-4\dataset\01015.txt ..\random_number_dataset\01015.txt bad
C:\Users\User\ptm-4\dataset\04016.txt ..\random_number_dataset\04016.txt bad
C:\Users\User\ptm-4\dataset\01510.txt ..\random_number_dataset\01510.txt bad
C:\Users\User\ptm-4\dataset\08620.txt ..\random_number_dataset\08620.txt bad
C:\Users\User\ptm-4\dataset\04973.txt ..\random_number_dataset\04973.txt bad
C:\Users\User\ptm-4\dataset\08420.txt ..\random_number_dataset\08420.txt bad
C:\Users\User\ptm-4\dataset\08102.txt ..\random_number_dataset\08102.txt bad
C:\Users\User\ptm-4\dataset\07275.txt ..\random_number_dataset\07275.txt bad
C:\Users\User\ptm-4\dataset\03013.txt ..\random_number_dataset\03013.txt bad
C:\Users\User\ptm-4\dataset\08439.txt ..\random_number_dataset\08439.txt bad
C:\Users\User\ptm-4\dataset\02203.txt ..\random_number_dataset\02203.txt bad
C:\Users\User\ptm-4\dataset\08926.txt ..\random_number_dataset\08926.txt bad
C:\Users\User\ptm-4\dataset\04222.txt ..\random_number_dataset\04222.txt bad
C:\Users\User\ptm-4\dataset\09926.txt ..\random_number_dataset\09926.txt bad
C:\Users\User\ptm-4\dataset\07358.txt ..\random_number_dataset\07358.txt bad
C:\Users\User\ptm-4\dataset\04814.txt ..\random_number_dataset\04814.txt bad
C:\Users\User\ptm-4\dataset\05155.txt ..\random_number_dataset\05155.txt bad
C:\Users\User\ptm-4\dataset\08206.txt ..\random_number_dataset\08206.txt bad
C:\Users\User\ptm-4\dataset\06447.txt ..\random_number_dataset\06447.txt bad
C:\Users\User\ptm-4\dataset\02438.txt ..\random_number_dataset\02438.txt bad
C:\Users\User\ptm-4\dataset\06785.txt ..\random_number_dataset\06785.txt bad
C:\Users\User\ptm-4\dataset\07503.txt ..\random_number_dataset\07503.txt bad
C:\Users\User\ptm-4\dataset\07170.txt ..\random_number_dataset\07170.txt bad
C:\Users\User\ptm-4\dataset\08515.txt ..\random_number_dataset\08515.txt bad
C:\Users\User\ptm-4\dataset\07422.txt ..\random_number_dataset\07422.txt bad
C:\Users\User\ptm-4\dataset\00048.txt ..\random_number_dataset\00048.txt bad
C:\Users\User\ptm-4\dataset\07098.txt ..\random_number_dataset\07098.txt bad
C:\Users\User\ptm-4\dataset\00102.txt ..\random_number_dataset\00102.txt bad
C:\Users\User\ptm-4\dataset\03548.txt ..\random_number_dataset\03548.txt bad
C:\Users\User\ptm-4\dataset\08327.txt ..\random_number_dataset\08327.txt bad
C:\Users\User\ptm-4\dataset\01538.txt ..\random_number_dataset\01538.txt bad
C:\Users\User\ptm-4\dataset\06260.txt ..\random_number_dataset\06260.txt bad
C:\Users\User\ptm-4\dataset\07564.txt ..\random_number_dataset\07564.txt bad
C:\Users\User\ptm-4\dataset\06643.txt ..\random_number_dataset\06643.txt bad
C:\Users\User\ptm-4\dataset\04670.txt ..\random_number_dataset\04670.txt bad
C:\Users\User\ptm-4\dataset\02317.txt ..\random_number_dataset\02317.txt bad
C:\Users\User\ptm-4\dataset\01714.txt ..\random_number_dataset\01714.txt bad
C:\Users\User\ptm-4\dataset\03221.txt ..\random_number_dataset\03221.txt bad
C:\Users\User\ptm-4\dataset\05958.txt ..\random_number_dataset\05958.txt bad
C:\Users\User\ptm-4\dataset\07973.txt ..\random_number_dataset\07973.txt bad
C:\Users\User\ptm-4\dataset\01930.txt ..\random_number_dataset\01930.txt bad
C:\Users\User\ptm-4\dataset\00726.txt ..\random_number_dataset\00726.txt bad
C:\Users\User\ptm-4\dataset\09767.txt ..\random_number_dataset\09767.txt bad
C:\Users\User\ptm-4\dataset\08653.txt ..\random_number_dataset\08653.txt bad
C:\Users\User\ptm-4\dataset\03186.txt ..\random_number_dataset\03186.txt bad
C:\Users\User\ptm-4\dataset\04870.txt ..\random_number_dataset\04870.txt bad
C:\Users\User\ptm-4\dataset\02484.txt ..\random_number_dataset\02484.txt bad
C:\Users\User\ptm-4\dataset\02675.txt ..\random_number_dataset\02675.txt bad
C:\Users\User\ptm-4\dataset\02471.txt ..\random_number_dataset\02471.txt bad
C:\Users\User\ptm-4\dataset\02004.txt ..\random_number_dataset\02004.txt bad
C:\Users\User\ptm-4\dataset\09940.txt ..\random_number_dataset\09940.txt bad
C:\Users\User\ptm-4\dataset\03660.txt ..\random_number_dataset\03660.txt bad
C:\Users\User\ptm-4\dataset\00881.txt ..\random_number_dataset\00881.txt bad
C:\Users\User\ptm-4\dataset\03769.txt ..\random_number_dataset\03769.txt bad
C:\Users\User\ptm-4\dataset\00678.txt ..\random_number_dataset\00678.txt bad
C:\Users\User\ptm-4\dataset\01584.txt ..\random_number_dataset\01584.txt bad
C:\Users\User\ptm-4\dataset\01320.txt ..\random_number_dataset\01320.txt bad
C:\Users\User\ptm-4\dataset\00560.txt ..\random_number_dataset\00560.txt bad
C:\Users\User\ptm-4\dataset\01039.txt ..\random_number_dataset\01039.txt bad
C:\Users\User\ptm-4\dataset\00168.txt ..\random_number_dataset\00168.txt bad
C:\Users\User\ptm-4\dataset\02583.txt ..\random_number_dataset\02583.txt bad
C:\Users\User\ptm-4\dataset\09057.txt ..\random_number_dataset\09057.txt bad
C:\Users\User\ptm-4\dataset\05027.txt ..\random_number_dataset\05027.txt bad
C:\Users\User\ptm-4\dataset\02830.txt ..\random_number_dataset\02830.txt bad
C:\Users\User\ptm-4\dataset\08154.txt ..\random_number_dataset\08154.txt bad
C:\Users\User\ptm-4\dataset\02419.txt ..\random_number_dataset\02419.txt bad
C:\Users\User\ptm-4\dataset\05898.txt ..\random_number_dataset\05898.txt bad
C:\Users\User\ptm-4\dataset\08611.txt ..\random_number_dataset\08611.txt bad
C:\Users\User\ptm-4\dataset\09618.txt ..\random_number_dataset\09618.txt bad
C:\Users\User\ptm-4\dataset\04199.txt ..\random_number_dataset\04199.txt bad
C:\Users\User\ptm-4\dataset\09307.txt ..\random_number_dataset\09307.txt bad
C:\Users\User\ptm-4\dataset\01397.txt ..\random_number_dataset\01397.txt bad
C:\Users\User\ptm-4\dataset\07395.txt ..\random_number_dataset\07395.txt bad
C:\Users\User\ptm-4\dataset\08231.txt ..\random_number_dataset\08231.txt bad
C:\Users\User\ptm-4\dataset\08174.txt ..\random_number_dataset\08174.txt bad
C:\Users\User\ptm-4\dataset\00522.txt ..\random_number_dataset\00522.txt bad
C:\Users\User\ptm-4\dataset\02393.txt ..\random_number_dataset\02393.txt bad
C:\Users\User\ptm-4\dataset\00238.txt ..\random_number_dataset\00238.txt bad
C:\Users\User\ptm-4\dataset\04393.txt ..\random_number_dataset\04393.txt bad
C:\Users\User\ptm-4\dataset\01099.txt ..\random_number_dataset\01099.txt bad
C:\Users\User\ptm-4\dataset\07935.txt ..\random_number_dataset\07935.txt bad
C:\Users\User\ptm-4\dataset\01721.txt ..\random_number_dataset\01721.txt bad
C:\Users\User\ptm-4\dataset\04432.txt ..\random_number_dataset\04432.txt bad
C:\Users\User\ptm-4\dataset\09566.txt ..\random_number_dataset\09566.txt bad
C:\Users\User\ptm-4\dataset\04738.txt ..\random_number_dataset\04738.txt bad
C:\Users\User\ptm-4\dataset\09976.txt ..\random_number_dataset\09976.txt bad
C:\Users\User\ptm-4\dataset\09308.txt ..\random_number_dataset\09308.txt bad
C:\Users\User\ptm-4\dataset\01286.txt ..\random_number_dataset\01286.txt bad
C:\Users\User\ptm-4\dataset\06333.txt ..\random_number_dataset\06333.txt bad
C:\Users\User\ptm-4\dataset\03671.txt ..\random_number_dataset\03671.txt bad
C:\Users\User\ptm-4\dataset\01656.txt ..\random_number_dataset\01656.txt bad
C:\Users\User\ptm-4\dataset\07564.txt ..\random_number_dataset\07564.txt bad
C:\Users\User\ptm-4\dataset\03401.txt ..\random_number_dataset\03401.txt bad
C:\Users\User\ptm-4\dataset\00159.txt ..\random_number_dataset\00159.txt bad
C:\Users\User\ptm-4\dataset\06161.txt ..\random_number_dataset\06161.txt bad
C:\Users\User\ptm-4\dataset\06520.txt ..\random_number_dataset\06520.txt bad
C:\Users\User\ptm-4\dataset\06244.txt ..\random_number_dataset\06244.txt bad
C:\Users\User\ptm-4\dataset\01751.txt ..\random_number_dataset\01751.txt bad
C:\Users\User\ptm-4\dataset\07398.txt ..\random_number_dataset\07398.txt bad
C:\Users\User\ptm-4\dataset\04724.txt ..\random_number_dataset\04724.txt bad
C:\Users\User\ptm-4\dataset\09741.txt ..\random_number_dataset\09741.txt bad
C:\Users\User\ptm-4\dataset\00001.txt ..\random_number_dataset\00001.txt bad
C:\Users\User\ptm-4\dataset\05039.txt ..\random_number_dataset\05039.txt bad
C:\Users\User\ptm-4\dataset\02430.txt ..\random_number_dataset\02430.txt bad
C:\Users\User\ptm-4\dataset\03891.txt ..\random_number_dataset\03891.txt bad
C:\Users\User\ptm-4\dataset\09580.txt ..\random_number_dataset\09580.txt bad
C:\Users\User\ptm-4\dataset\03202.txt ..\random_number_dataset\03202.txt bad
C:\Users\User\ptm-4\dataset\04865.txt ..\random_number_dataset\04865.txt bad
C:\Users\User\ptm-4\dataset\03935.txt ..\random_number_dataset\03935.txt bad
C:\Users\User\ptm-4\dataset\06862.txt ..\random_number_dataset\06862.txt bad
C:\Users\User\ptm-4\dataset\08479.txt ..\random_number_dataset\08479.txt bad
C:\Users\User\ptm-4\dataset\08228.txt ..\random_number_dataset\08228.txt bad
C:\Users\User\ptm-4\dataset\05143.txt ..\random_number_dataset\05143.txt bad
C:\Users\User\ptm-4\dataset\04470.txt ..\random_number_dataset\04470.txt bad
C:\Users\User\ptm-4\dataset\07224.txt ..\random_number_dataset\07224.txt bad
C:\Users\User\ptm-4\dataset\09951.txt ..\random_number_dataset\09951.txt bad
C:\Users\User\ptm-4\dataset\04181.txt ..\random_number_dataset\04181.txt bad
C:\Users\User\ptm-4\dataset\08155.txt ..\random_number_dataset\08155.txt bad
C:\Users\User\ptm-4\dataset\02773.txt ..\random_number_dataset\02773.txt bad
C:\Users\User\ptm-4\dataset\00109.txt ..\random_number_dataset\00109.txt bad
C:\Users\User\ptm-4\dataset\05945.txt ..\random_number_dataset\05945.txt bad
C:\Users\User\ptm-4\dataset\09550.txt ..\random_number_dataset\09550.txt bad
C:\Users\User\ptm-4\dataset\02163.txt ..\random_number_dataset\02163.txt bad
C:\Users\User\ptm-4\dataset\04757.txt ..\random_number_dataset\04757.txt bad
C:\Users\User\ptm-4\dataset\05438.txt ..\random_number_dataset\05438.txt bad
C:\Users\User\ptm-4\dataset\01909.txt ..\random_number_dataset\01909.txt bad
C:\Users\User\ptm-4\dataset\07027.txt ..\random_number_dataset\07027.txt bad
C:\Users\User\ptm-4\dataset\07376.txt ..\random_number_dataset\07376.txt bad
C:\Users\User\ptm-4\dataset\03068.txt ..\random_number_dataset\03068.txt bad
C:\Users\User\ptm-4\dataset\05013.txt ..\random_number_dataset\05013.txt bad
C:\Users\User\ptm-4\dataset\01847.txt ..\random_number_dataset\01847.txt bad
C:\Users\User\ptm-4\dataset\04376.txt ..\random_number_dataset\04376.txt bad
C:\Users\User\ptm-4\dataset\07761.txt ..\random_number_dataset\07761.txt bad
C:\Users\User\ptm-4\dataset\02528.txt ..\random_number_dataset\02528.txt bad
C:\Users\User\ptm-4\dataset\09670.txt ..\random_number_dataset\09670.txt bad
C:\Users\User\ptm-4\dataset\07778.txt ..\random_number_dataset\07778.txt bad
