The Absolute Way;Relative Way;Class
D:\учёба\для себя\ptm-4\dataset\zebra\0011.jpg;dataset/zebra/0011.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0011.jpg;dataset/bay_horse/0011.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0012.jpg;dataset/zebra/0012.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0012.jpg;dataset/bay_horse/0012.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0013.jpg;dataset/zebra/0013.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0013.jpg;dataset/bay_horse/0013.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0014.jpg;dataset/zebra/0014.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0014.jpg;dataset/bay_horse/0014.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0015.jpg;dataset/zebra/0015.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0015.jpg;dataset/bay_horse/0015.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0016.jpg;dataset/zebra/0016.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0016.jpg;dataset/bay_horse/0016.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0017.jpg;dataset/zebra/0017.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0017.jpg;dataset/bay_horse/0017.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0018.jpg;dataset/zebra/0018.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0018.jpg;dataset/bay_horse/0018.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0019.jpg;dataset/zebra/0019.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0019.jpg;dataset/bay_horse/0019.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0020.jpg;dataset/zebra/0020.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0020.jpg;dataset/bay_horse/0020.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0021.jpg;dataset/zebra/0021.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0021.jpg;dataset/bay_horse/0021.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0022.jpg;dataset/zebra/0022.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0022.jpg;dataset/bay_horse/0022.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0023.jpg;dataset/zebra/0023.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0023.jpg;dataset/bay_horse/0023.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0024.jpg;dataset/zebra/0024.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0024.jpg;dataset/bay_horse/0024.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0025.jpg;dataset/zebra/0025.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0025.jpg;dataset/bay_horse/0025.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0026.jpg;dataset/zebra/0026.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0026.jpg;dataset/bay_horse/0026.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0027.jpg;dataset/zebra/0027.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0027.jpg;dataset/bay_horse/0027.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0028.jpg;dataset/zebra/0028.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0028.jpg;dataset/bay_horse/0028.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0029.jpg;dataset/zebra/0029.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0029.jpg;dataset/bay_horse/0029.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0030.jpg;dataset/zebra/0030.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0030.jpg;dataset/bay_horse/0030.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0031.jpg;dataset/zebra/0031.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0031.jpg;dataset/bay_horse/0031.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0032.jpg;dataset/zebra/0032.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0032.jpg;dataset/bay_horse/0032.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0033.jpg;dataset/zebra/0033.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0033.jpg;dataset/bay_horse/0033.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0034.jpg;dataset/zebra/0034.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0034.jpg;dataset/bay_horse/0034.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0035.jpg;dataset/zebra/0035.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0035.jpg;dataset/bay_horse/0035.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0036.jpg;dataset/zebra/0036.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0036.jpg;dataset/bay_horse/0036.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0037.jpg;dataset/zebra/0037.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0037.jpg;dataset/bay_horse/0037.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0038.jpg;dataset/zebra/0038.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0038.jpg;dataset/bay_horse/0038.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0039.jpg;dataset/zebra/0039.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0039.jpg;dataset/bay_horse/0039.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0040.jpg;dataset/zebra/0040.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0040.jpg;dataset/bay_horse/0040.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0041.jpg;dataset/zebra/0041.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0041.jpg;dataset/bay_horse/0041.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0042.jpg;dataset/zebra/0042.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0042.jpg;dataset/bay_horse/0042.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0043.jpg;dataset/zebra/0043.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0043.jpg;dataset/bay_horse/0043.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0044.jpg;dataset/zebra/0044.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0044.jpg;dataset/bay_horse/0044.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0045.jpg;dataset/zebra/0045.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0045.jpg;dataset/bay_horse/0045.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0046.jpg;dataset/zebra/0046.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0046.jpg;dataset/bay_horse/0046.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0047.jpg;dataset/zebra/0047.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0047.jpg;dataset/bay_horse/0047.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0048.jpg;dataset/zebra/0048.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0048.jpg;dataset/bay_horse/0048.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0049.jpg;dataset/zebra/0049.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0049.jpg;dataset/bay_horse/0049.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0050.jpg;dataset/zebra/0050.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0050.jpg;dataset/bay_horse/0050.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0051.jpg;dataset/zebra/0051.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0051.jpg;dataset/bay_horse/0051.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0052.jpg;dataset/zebra/0052.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0052.jpg;dataset/bay_horse/0052.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0053.jpg;dataset/zebra/0053.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0053.jpg;dataset/bay_horse/0053.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0054.jpg;dataset/zebra/0054.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0054.jpg;dataset/bay_horse/0054.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0055.jpg;dataset/zebra/0055.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0055.jpg;dataset/bay_horse/0055.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0056.jpg;dataset/zebra/0056.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0056.jpg;dataset/bay_horse/0056.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0057.jpg;dataset/zebra/0057.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0057.jpg;dataset/bay_horse/0057.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0058.jpg;dataset/zebra/0058.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0058.jpg;dataset/bay_horse/0058.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0059.jpg;dataset/zebra/0059.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0059.jpg;dataset/bay_horse/0059.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0060.jpg;dataset/zebra/0060.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0060.jpg;dataset/bay_horse/0060.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0061.jpg;dataset/zebra/0061.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0061.jpg;dataset/bay_horse/0061.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0062.jpg;dataset/zebra/0062.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0062.jpg;dataset/bay_horse/0062.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0063.jpg;dataset/zebra/0063.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0063.jpg;dataset/bay_horse/0063.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0064.jpg;dataset/zebra/0064.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0064.jpg;dataset/bay_horse/0064.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0065.jpg;dataset/zebra/0065.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0065.jpg;dataset/bay_horse/0065.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0066.jpg;dataset/zebra/0066.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0066.jpg;dataset/bay_horse/0066.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0067.jpg;dataset/zebra/0067.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0067.jpg;dataset/bay_horse/0067.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0068.jpg;dataset/zebra/0068.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0068.jpg;dataset/bay_horse/0068.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0069.jpg;dataset/zebra/0069.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0069.jpg;dataset/bay_horse/0069.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0070.jpg;dataset/zebra/0070.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0070.jpg;dataset/bay_horse/0070.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0071.jpg;dataset/zebra/0071.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0071.jpg;dataset/bay_horse/0071.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0072.jpg;dataset/zebra/0072.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0072.jpg;dataset/bay_horse/0072.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0073.jpg;dataset/zebra/0073.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0073.jpg;dataset/bay_horse/0073.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0074.jpg;dataset/zebra/0074.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0074.jpg;dataset/bay_horse/0074.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0075.jpg;dataset/zebra/0075.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0075.jpg;dataset/bay_horse/0075.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0076.jpg;dataset/zebra/0076.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0076.jpg;dataset/bay_horse/0076.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0077.jpg;dataset/zebra/0077.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0077.jpg;dataset/bay_horse/0077.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0078.jpg;dataset/zebra/0078.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0078.jpg;dataset/bay_horse/0078.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0079.jpg;dataset/zebra/0079.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0079.jpg;dataset/bay_horse/0079.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0080.jpg;dataset/zebra/0080.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0080.jpg;dataset/bay_horse/0080.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0081.jpg;dataset/zebra/0081.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0081.jpg;dataset/bay_horse/0081.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0082.jpg;dataset/zebra/0082.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0082.jpg;dataset/bay_horse/0082.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0083.jpg;dataset/zebra/0083.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0083.jpg;dataset/bay_horse/0083.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0084.jpg;dataset/zebra/0084.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0084.jpg;dataset/bay_horse/0084.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0085.jpg;dataset/zebra/0085.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0085.jpg;dataset/bay_horse/0085.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0086.jpg;dataset/zebra/0086.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0086.jpg;dataset/bay_horse/0086.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0087.jpg;dataset/zebra/0087.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0087.jpg;dataset/bay_horse/0087.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0088.jpg;dataset/zebra/0088.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0088.jpg;dataset/bay_horse/0088.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0089.jpg;dataset/zebra/0089.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0089.jpg;dataset/bay_horse/0089.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0090.jpg;dataset/zebra/0090.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0090.jpg;dataset/bay_horse/0090.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0091.jpg;dataset/zebra/0091.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0091.jpg;dataset/bay_horse/0091.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0092.jpg;dataset/zebra/0092.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0092.jpg;dataset/bay_horse/0092.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0093.jpg;dataset/zebra/0093.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0093.jpg;dataset/bay_horse/0093.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0094.jpg;dataset/zebra/0094.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0094.jpg;dataset/bay_horse/0094.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0095.jpg;dataset/zebra/0095.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0095.jpg;dataset/bay_horse/0095.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0096.jpg;dataset/zebra/0096.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0096.jpg;dataset/bay_horse/0096.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0097.jpg;dataset/zebra/0097.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0097.jpg;dataset/bay_horse/0097.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0098.jpg;dataset/zebra/0098.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0098.jpg;dataset/bay_horse/0098.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0099.jpg;dataset/zebra/0099.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0099.jpg;dataset/bay_horse/0099.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0100.jpg;dataset/zebra/0100.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0100.jpg;dataset/bay_horse/0100.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0101.jpg;dataset/zebra/0101.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0101.jpg;dataset/bay_horse/0101.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0102.jpg;dataset/zebra/0102.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0102.jpg;dataset/bay_horse/0102.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0103.jpg;dataset/zebra/0103.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0103.jpg;dataset/bay_horse/0103.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0104.jpg;dataset/zebra/0104.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0104.jpg;dataset/bay_horse/0104.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0105.jpg;dataset/zebra/0105.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0105.jpg;dataset/bay_horse/0105.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0106.jpg;dataset/zebra/0106.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0106.jpg;dataset/bay_horse/0106.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0107.jpg;dataset/zebra/0107.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0107.jpg;dataset/bay_horse/0107.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0108.jpg;dataset/zebra/0108.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0108.jpg;dataset/bay_horse/0108.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0109.jpg;dataset/zebra/0109.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0109.jpg;dataset/bay_horse/0109.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0110.jpg;dataset/zebra/0110.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0110.jpg;dataset/bay_horse/0110.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0111.jpg;dataset/zebra/0111.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0111.jpg;dataset/bay_horse/0111.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0112.jpg;dataset/zebra/0112.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0112.jpg;dataset/bay_horse/0112.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0113.jpg;dataset/zebra/0113.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0113.jpg;dataset/bay_horse/0113.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0114.jpg;dataset/zebra/0114.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0114.jpg;dataset/bay_horse/0114.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0115.jpg;dataset/zebra/0115.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0115.jpg;dataset/bay_horse/0115.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0116.jpg;dataset/zebra/0116.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0116.jpg;dataset/bay_horse/0116.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0117.jpg;dataset/zebra/0117.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0117.jpg;dataset/bay_horse/0117.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0118.jpg;dataset/zebra/0118.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0118.jpg;dataset/bay_horse/0118.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0119.jpg;dataset/zebra/0119.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0119.jpg;dataset/bay_horse/0119.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0120.jpg;dataset/zebra/0120.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0120.jpg;dataset/bay_horse/0120.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0121.jpg;dataset/zebra/0121.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0121.jpg;dataset/bay_horse/0121.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0122.jpg;dataset/zebra/0122.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0122.jpg;dataset/bay_horse/0122.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0123.jpg;dataset/zebra/0123.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0123.jpg;dataset/bay_horse/0123.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0124.jpg;dataset/zebra/0124.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0124.jpg;dataset/bay_horse/0124.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0125.jpg;dataset/zebra/0125.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0125.jpg;dataset/bay_horse/0125.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0126.jpg;dataset/zebra/0126.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0126.jpg;dataset/bay_horse/0126.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0127.jpg;dataset/zebra/0127.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0127.jpg;dataset/bay_horse/0127.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0128.jpg;dataset/zebra/0128.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0128.jpg;dataset/bay_horse/0128.jpg;bay_horse
