2023-12-09 00:55:22 | INFO | GAME_STARTED | run.py | The game has started
2023-12-09 00:56:07 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:09 | INFO | APPLE_EATEN | Game.py | The snake ate an apple
2023-12-09 00:56:09 | INFO | SPAWN_APPLE | Game.py | The apple spawned
2023-12-09 00:56:11 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:12 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:13 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:13 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:13 | INFO | APPLE_EATEN | Game.py | The snake ate an apple
2023-12-09 00:56:13 | INFO | SPAWN_APPLE | Game.py | The apple spawned
2023-12-09 00:56:15 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:15 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:19 | INFO | APPLE_EATEN | Game.py | The snake ate an apple
2023-12-09 00:56:19 | INFO | SPAWN_APPLE | Game.py | The apple spawned
2023-12-09 00:56:19 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:19 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:30 | INFO | APPLE_EATEN | Game.py | The snake ate an apple
2023-12-09 00:56:30 | INFO | SPAWN_APPLE | Game.py | The apple spawned
2023-12-09 00:56:30 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:30 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:31 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:32 | INFO | NEW_DIRECTION | Game.py | The direction of the snake has changed
2023-12-09 00:56:32 | WARNING | SNAKE_DIED | Game.py | The snake hit an obstacle and died
2023-12-09 00:56:32 | INFO | PLAY_FINISHED | Game.py | The player finished playing
2023-12-09 00:56:32 | INFO | SCORE_ADDED | Game.py | A new point has been added
2023-12-09 00:56:32 | INFO | MENU_OPENED | Game.py | The menu opened
2023-12-09 00:56:34 | INFO | MENU_CLOSED | Game.py | The menu closed
2023-12-09 00:56:34 | INFO | SCORE_BOARD_OPENED | Game.py | The player opened score boarde
2023-12-09 00:56:36 | INFO | SCORE_BOARD_CLOSED | Game.py | The player closed score boarde
2023-12-09 00:56:36 | INFO | MENU_OPENED | Game.py | The menu opened
2023-12-09 00:56:37 | INFO | MENU_CLOSED | Game.py | The menu closed
2023-12-09 00:56:37 | INFO | GAME_OVER | run.py | The game is over
